ID,Year_Birth,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,anciennete_jours,unites_total,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,proba,gain_attendu_par_client,decile
10430,1973,89694.0,1,1,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,-15987,1472,False,False,True,False,False,False,False,True,False,False,False,False,False,0.9434315945580286,7.247452756464229,D10
10489,1973,92955.0,0,0,693,21,925,31,24,84,1,6,7,9,2,0,0,1,1,0,0,-15936,1778,False,False,True,False,False,False,False,False,True,False,False,False,False,0.9356586856042665,7.185269484834132,D10
7872,1975,86836.0,0,0,179,21,273,0,21,63,1,6,10,6,5,1,0,1,1,0,0,-15595,557,False,False,False,False,True,False,False,False,True,False,False,False,False,0.9345096955485866,7.176077564388693,D10
1137,1964,81246.0,0,0,398,190,537,61,156,37,1,4,5,7,1,1,0,0,1,0,0,-16068,1379,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9191706576021439,7.053365260817151,D10
4580,1969,75759.0,0,0,1394,22,708,89,91,182,1,9,7,9,5,1,0,1,1,0,0,-16003,2486,False,False,True,False,False,False,False,False,True,False,False,False,False,0.9091937456163607,6.973549964930886,D10
7627,1975,92163.0,0,0,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,-15686,2086,False,False,False,True,False,False,False,False,True,False,False,False,False,0.9004398507487894,6.903518805990315,D10
5524,1957,58138.0,0,0,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,-15587,1617,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8959391303447595,6.867513042758076,D10
569,1991,90273.0,0,0,704,129,853,120,74,111,1,5,6,7,2,0,1,1,1,0,0,-16053,1991,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8946425966217317,6.857140772973854,D10
10446,1957,82017.0,0,0,184,23,446,30,23,23,1,5,4,7,2,0,1,1,1,0,0,-15651,729,False,False,False,False,True,False,False,False,True,False,False,False,False,0.8939642391384147,6.851713913107318,D10
1509,1958,84460.0,0,0,152,27,103,106,54,81,0,9,9,4,5,0,1,1,1,1,0,-15709,523,False,False,False,False,True,False,False,False,False,False,True,False,False,0.89335981412877,6.84687851303016,D10
5386,1953,94384.0,0,0,1111,24,790,160,45,172,0,5,8,5,2,0,1,1,1,0,0,-15768,2302,False,False,True,False,False,False,False,False,False,False,True,False,False,0.892531120346517,6.840248962772137,D10
6024,1953,94384.0,0,0,1111,24,790,160,45,172,0,5,8,5,2,0,1,1,1,0,0,-15768,2302,False,False,True,False,False,False,False,False,False,False,True,False,False,0.8904472078351394,6.8235776626811155,D10
10089,1974,102692.0,0,0,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,0,-15800,1112,False,False,True,False,False,False,False,True,False,False,False,False,False,0.8902375875398754,6.821900700319003,D10
7215,1983,101970.0,0,0,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,-15776,1135,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8900872386541355,6.820697909233084,D10
2798,1977,102160.0,0,0,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,-15646,1240,False,False,False,False,True,False,False,False,False,False,True,False,False,0.88992805552759,6.81942444422072,D10
4789,1953,80812.0,0,0,769,22,500,210,143,33,1,4,8,5,2,1,0,1,1,0,0,-15965,1677,False,False,True,False,False,False,False,False,False,False,True,False,False,0.8890871070511732,6.812696856409386,D10
2521,1971,35178.0,1,0,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,-15715,59,False,False,False,True,False,False,False,False,True,False,False,False,False,0.8815233289610748,6.752186631688598,D10
8975,1968,19514.0,1,1,14,3,21,2,1,28,4,3,1,2,8,1,0,0,0,0,0,-16096,69,False,False,True,False,False,False,False,False,True,False,False,False,False,0.8724232912000075,6.67938632960006,D10
4702,1964,61839.0,0,0,1000,155,379,224,17,120,1,4,8,4,8,0,0,0,0,0,0,-15564,1895,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8657088913592612,6.62567113087409,D10
